Subject,"Start Date","All Day Event",Description,Private
"Всесвітній день батьків",2022-06-01,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-batkiv'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день відповідального туризму",2022-06-01,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-vidpovidalnogo-turizmu'  >Дивитись на сайті Smeshinki</a>",0
"День захисту дітей",2022-06-01,1,"<a href='https://smeshinki.net/holiday/den-zahistu-ditey'  >Дивитись на сайті Smeshinki</a>",0
"Вознесіння Господнє",2022-06-02,1,"<a href='https://smeshinki.net/holiday/voznesinnya-gospodnye'  >Дивитись на сайті Smeshinki</a>",0
"День здорового харчування",2022-06-02,1,"<a href='https://smeshinki.net/holiday/den-zdorovogo-harchuvannya'  >Дивитись на сайті Smeshinki</a>",0
"Європейський день зубних техніків",2022-06-03,1,"<a href='https://smeshinki.net/holiday/yevropeyskiy-den-zubnih-tehnikiv'  >Дивитись на сайті Smeshinki</a>",0
"День велосипедиста",2022-06-03,1,"<a href='https://smeshinki.net/holiday/den-velosipedista'  >Дивитись на сайті Smeshinki</a>",0
"День вшанування пам’яті дітей, які загинули внаслідок збройної агресії Російської Федерації проти України",2022-06-04,1,"<a href='https://smeshinki.net/holiday/den-vshanuvannya-pam-yati-ditey-yaki-zaginuli-vnaslidok-zbroynoji-agresiji-rosiyskoji-federaciji-proti-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день безневинних дітей — жертв агресії",2022-06-04,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-beznevinnih-ditey-zhertv-agresiji'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день очищення водойм",2022-06-05,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-ochishchennya-vodoym'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день людей, які подолали рак",2022-06-05,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-lyudey-yaki-podolali-rak'  >Дивитись на сайті Smeshinki</a>",0
"День міста Черкаси",2022-06-05,1,"<a href='https://smeshinki.net/holiday/den-mista-cherkasi'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день боротьби з незаконним і нерегульованим рибальством",2022-06-05,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-borotbi-z-nezakonnim-i-neregulovanim-ribalstvom'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день навколишнього середовища",2022-06-05,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-navkolishnogo-seredovishcha'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день безпеки харчових продуктів",2022-06-07,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-bezpeki-harchovih-produktiv'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день домогосподарки і домохазяїна",2022-06-08,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-domogospodarki-i-domohazyajina'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день друзів",2022-06-09,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-druziv'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день ремісництва",2022-06-10,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-remisnictva'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день геральдики",2022-06-10,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-geraldiki'  >Дивитись на сайті Smeshinki</a>",0
"День визволення Маріуполя від російських окупантів",2022-06-13,1,"<a href='https://smeshinki.net/holiday/den-vizvolennya-mariupolya-vid-rosiyskih-okupantiv'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день донора крові",2022-06-14,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-donora-krovi'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день в’язання",2022-06-14,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-v-yazannya'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день вітру",2022-06-15,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-vitru'  >Дивитись на сайті Smeshinki</a>",0
"День Великої хартії вольностей",2022-06-15,1,"<a href='https://smeshinki.net/holiday/den-velikoji-hartiji-volnostey'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день батька",2022-06-19,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-batka'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день дитячого футболу",2022-06-19,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-dityachogo-futbolu'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день біженців",2022-06-20,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-bizhenciv'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день Wi-Fi",2022-06-20,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-wi-fi'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день захисту слонів в зоопарках",2022-06-20,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-zahistu-sloniv-v-zooparkah'  >Дивитись на сайті Smeshinki</a>",0
"День літнього сонцестояння",2022-06-21,1,"<a href='https://smeshinki.net/holiday/den-litnogo-soncestoyannya'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний День Йоги",2022-06-21,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-yogi'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день гуманізму",2022-06-21,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-gumanizmu'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день жирафа",2022-06-21,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-zhirafa'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день рукостискань",2022-06-21,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-rukostiskan'  >Дивитись на сайті Smeshinki</a>",0
"День скорботи і вшанування пам’яті жертв Війни в Україні",2022-06-22,1,"<a href='https://smeshinki.net/holiday/den-skorboti-i-vshanuvannya-pam-yati-zhertv-viyni-v-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний Олімпійський день",2022-06-23,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-olimpiyskiy-den'  >Дивитись на сайті Smeshinki</a>",0
"День державної служби ООН",2022-06-23,1,"<a href='https://smeshinki.net/holiday/den-derzhavnoji-sluzhbi-oon'  >Дивитись на сайті Smeshinki</a>",0
"День державної служби в Україні",2022-06-24,1,"<a href='https://smeshinki.net/holiday/den-derzhavnoji-sluzhbi-v-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день амброзії",2022-06-25,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-ambroziji'  >Дивитись на сайті Smeshinki</a>",0
"День молоді",2022-06-26,1,"<a href='https://smeshinki.net/holiday/den-molodi'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день боротьби проти зловживання наркотиками та їх незаконного обігу",2022-06-26,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-borotbi-proti-zlovzhivannya-narkotikami-ta-jih-nezakonnogo-obigu'  >Дивитись на сайті Smeshinki</a>",0
"День молодіжних і дитячих громадських організацій України",2022-06-26,1,"<a href='https://smeshinki.net/holiday/den-molodizhnih-i-dityachih-gromadskih-organizaciy-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
"День мікро-, малих і середніх підприємств",2022-06-27,1,"<a href='https://smeshinki.net/holiday/den-mikro-malih-i-serednih-pidpriyemstv'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день рибальства",2022-06-27,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-ribalstva'  >Дивитись на сайті Smeshinki</a>",0
"День Конституції України",2022-06-28,1,"<a href='https://smeshinki.net/holiday/den-konstituciji-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день проти відмови від домашніх тварин",2022-06-29,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-proti-vidmovi-vid-domashnih-tvarin'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день соціальних мереж",2022-06-30,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-socialnih-merezh'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день парламентаризму",2022-06-30,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-parlamentarizmu'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день цивільної оборони",2022-03-01,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-civilnoji-oboroni'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день дикої природи",2022-03-03,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-dikoji-prirodi'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день проти сексуальної експлуатації",2022-03-04,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-proti-seksualnoji-ekspluataciji'  >Дивитись на сайті Smeshinki</a>",0
"День подяки співробітникам",2022-03-04,1,"<a href='https://smeshinki.net/holiday/den-podyaki-spivrobitnikam'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний Жіночий День (День боротьби за права жінок)",2022-03-08,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-zhinochiy-den-den-borotbi-za-prava-zhinok'  >Дивитись на сайті Smeshinki</a>",0
"День народження Тараса Шевченка",2022-03-09,1,"<a href='https://smeshinki.net/holiday/den-narodzhennya-tarasa-shevchenka'  >Дивитись на сайті Smeshinki</a>",0
"День пам’яті Тараса Шевченка",2022-03-10,1,"<a href='https://smeshinki.net/holiday/den-pam-yati-tarasa-shevchenka'  >Дивитись на сайті Smeshinki</a>",0
"День українського добровольця",2022-03-14,1,"<a href='https://smeshinki.net/holiday/den-ukrajinskogo-dobrovolcya'  >Дивитись на сайті Smeshinki</a>",0
"Свято вчених або День генія",2022-03-14,1,"<a href='https://smeshinki.net/holiday/svyato-vchenih-abo-den-geniya'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день числа «Пі»",2022-03-14,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-chisla-pi'  >Дивитись на сайті Smeshinki</a>",0
"День Співдружності націй",2022-03-14,1,"<a href='https://smeshinki.net/holiday/den-spivdruzhnosti-naciy'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день соціальної роботи",2022-03-15,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-socialnoji-roboti'  >Дивитись на сайті Smeshinki</a>",0
"День захисту прав споживачів",2022-03-15,1,"<a href='https://smeshinki.net/holiday/den-zahistu-prav-spozhivachiv'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день боротьби з депресією",2022-03-24,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-borotbi-z-depresiyeyu'  >Дивитись на сайті Smeshinki</a>",0
"День СБУ",2022-03-25,1,"<a href='https://smeshinki.net/holiday/den-sbu'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день веселощів на роботі",2022-04-01,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-veseloshchiv-na-roboti'  >Дивитись на сайті Smeshinki</a>",0
"День сміху",2022-04-02,1,"<a href='https://smeshinki.net/holiday/den-smihu'  >Дивитись на сайті Smeshinki</a>",0
"День примирення",2022-04-02,1,"<a href='https://smeshinki.net/holiday/den-primirennya'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день вечірки",2022-04-03,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-vechirki'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день просвіти з питань мінної небезпеки та допомоги в діяльності, пов’язаної з розмінуванням",2022-04-04,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-prosviti-z-pitan-minnoji-nebezpeki-ta-dopomogi-v-diyalnosti-pov-yazanoji-z-rozminuvannyam'  >Дивитись на сайті Smeshinki</a>",0
"Перша конституція України",2022-04-05,1,"<a href='https://smeshinki.net/holiday/persha-konstituciya-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день спорту на благо миру та розвитку",2022-04-06,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-sportu-na-blago-miru-ta-rozvitku'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день настільного тенісу",2022-04-06,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-nastilnogo-tenisu'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день бобра",2022-04-07,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-bobra'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день здоров’я",2022-04-07,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-zdorov-ya'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день обслуговування доріг",2022-04-07,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-obslugovuvannya-dorig'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день буддизму",2022-04-08,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-buddizmu'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день фен-шуй",2022-04-08,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-fen-shuy'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день антикваріату",2022-04-09,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-antikvariatu'  >Дивитись на сайті Smeshinki</a>",0
"День добрих справ",2022-04-10,1,"<a href='https://smeshinki.net/holiday/den-dobrih-sprav'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день гомеопатії",2022-04-10,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-gomeopatiji'  >Дивитись на сайті Smeshinki</a>",0
"День гольфіста",2022-04-10,1,"<a href='https://smeshinki.net/holiday/den-golfista'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день братів і сестер",2022-04-10,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-brativ-i-sester'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день визволення в’язнів нацистських концтаборів",2022-04-11,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-vizvolennya-v-yazniv-nacistskih-konctaboriv'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день дій в сфері військових витрат",2022-04-12,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-diy-v-sferi-viyskovih-vitrat'  >Дивитись на сайті Smeshinki</a>",0
"День Скаута в Україні",2022-04-12,1,"<a href='https://smeshinki.net/holiday/den-skauta-v-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день польоту людини в космос",2022-04-12,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-polotu-lyudini-v-kosmos'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день авіації і космонавтики",2022-04-12,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-aviaciji-i-kosmonavtiki'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день рок-н-ролу",2022-04-13,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-rok-n-rolu'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день культури",2022-04-15,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-kulturi'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день мистецтва",2022-04-15,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-mistectva'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день екологічних знань",2022-04-15,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-ekologichnih-znan'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день цирку",2022-04-16,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-cirku'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день крапки з комою",2022-04-16,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-krapki-z-komoyu'  >Дивитись на сайті Smeshinki</a>",0
"День обізнаності про стрес",2022-04-16,1,"<a href='https://smeshinki.net/holiday/den-obiznanosti-pro-stres'  >Дивитись на сайті Smeshinki</a>",0
"Український День навколишнього середовища (День довкілля)",2022-04-16,1,"<a href='https://smeshinki.net/holiday/ukrajinskiy-den-navkolishnogo-seredovishcha-den-dovkillya'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день кави (День еспресо)",2022-04-17,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-kavi-den-espreso'  >Дивитись на сайті Smeshinki</a>",0
"День заснування Товариства Червоного Хреста в Україні",2022-04-18,1,"<a href='https://smeshinki.net/holiday/den-zasnuvannya-tovaristva-chervonogo-hresta-v-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день пам’яток та історичних місць",2022-04-18,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-pam-yatok-ta-istorichnih-misc'  >Дивитись на сайті Smeshinki</a>",0
"День поезії і творчого мислення",2022-04-19,1,"<a href='https://smeshinki.net/holiday/den-poeziji-i-tvorchogo-mislennya'  >Дивитись на сайті Smeshinki</a>",0
"День вдячності волонтерам",2022-04-20,1,"<a href='https://smeshinki.net/holiday/den-vdyachnosti-volonteram'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день міграції риб",2022-04-21,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-migraciji-rib'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день творчості та інноваційної діяльності",2022-04-21,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-tvorchosti-ta-innovaciynoji-diyalnosti'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день Матері-Землі",2022-04-22,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-materi-zemli'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день лабораторій",2022-04-23,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-laboratoriy'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день книг і авторського права",2022-04-23,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-knig-i-avtorskogo-prava'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день мультилатералізму і дипломатії за мир",2022-04-24,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-multilateralizmu-i-diplomatiji-za-mir'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день багатосторонності і дипломатії заради миру",2022-04-24,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-bagatostoronnosti-i-diplomatiji-zaradi-miru'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день захисту лабораторних тварин",2022-04-24,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-zahistu-laboratornih-tvarin'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день солідарності молоді",2022-04-24,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-solidarnosti-molodi'  >Дивитись на сайті Smeshinki</a>",0
"День доньки",2022-04-25,1,"<a href='https://smeshinki.net/holiday/den-donki'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день делегата",2022-04-25,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-delegata'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день варіння картоплі",2022-04-26,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-varinnya-kartopli'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день інтелектуальної власності",2022-04-26,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-intelektualnoji-vlasnosti'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день пам’яті жертв радіаційних аварій і катастроф",2022-04-26,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-pam-yati-zhertv-radiaciynih-avariy-i-katastrof'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день пам’яті Чорнобиля",2022-04-26,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-pam-yati-chornobilya'  >Дивитись на сайті Smeshinki</a>",0
"День азбуки Морзе",2022-04-27,1,"<a href='https://smeshinki.net/holiday/den-azbuki-morze'  >Дивитись на сайті Smeshinki</a>",0
"День читання великої поезії",2022-04-28,1,"<a href='https://smeshinki.net/holiday/den-chitannya-velikoji-poeziji'  >Дивитись на сайті Smeshinki</a>",0
"День охорони праці в Україні",2022-04-28,1,"<a href='https://smeshinki.net/holiday/den-ohoroni-praci-v-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день бажань",2022-04-29,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-bazhan'  >Дивитись на сайті Smeshinki</a>",0
"Всеукраїнський День футболу",2022-04-29,1,"<a href='https://smeshinki.net/holiday/vseukrajinskiy-den-futbolu'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день джазу",2022-04-30,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-dzhazu'  >Дивитись на сайті Smeshinki</a>",0
"День героїв",2022-05-23,1,"<a href='https://smeshinki.net/holiday/den-gerojiv'  >Дивитись на сайті Smeshinki</a>",0
"День морської піхоти України",2022-05-23,1,"<a href='https://smeshinki.net/holiday/den-morskoji-pihoti-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
"День слов’янської писемності та культури",2022-05-24,1,"<a href='https://smeshinki.net/holiday/den-slov-yanskoji-pisemnosti-ta-kulturi'  >Дивитись на сайті Smeshinki</a>",0
"День Державної служби спеціального зв’язку та захисту інформації",2022-05-25,1,"<a href='https://smeshinki.net/holiday/den-derzhavnoji-sluzhbi-specialnogo-zv-yazku-ta-zahistu-informaciji'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній тиждень надання незалежності колоніальним країнам і народам",2022-05-25,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-tizhden-nadannya-nezalezhnosti-kolonialnim-krajinam-i-narodam'  >Дивитись на сайті Smeshinki</a>",0
